Time,Ca++,H+,HCO3-,CO3--,CO2(aq),
0,0.1,0.200001,2.66346e-06,0.199997,9.35426e-10,
20,0.073808,0.200001,2.31465e-06,0.173806,8.12924e-10,
40,0.0567668,0.200001,2.08771e-06,0.156765,7.3322e-10,
60,0.0449869,0.200001,1.93084e-06,0.144985,6.78125e-10,
80,0.036499,0.200001,1.8178e-06,0.136497,6.38425e-10,
100,0.0301984,0.200001,1.73389e-06,0.130197,6.08957e-10,
120,0.0254176,0.200001,1.67023e-06,0.125416,5.86597e-10,
140,0.021729,0.200001,1.6211e-06,0.121727,5.69345e-10,
160,0.0188465,0.200001,1.58272e-06,0.118845,5.55863e-10,
180,0.0165712,0.200001,1.55242e-06,0.11657,5.45221e-10,
200,0.014761,0.200001,1.52831e-06,0.114759,5.36754e-10,
220,0.0133118,0.200001,1.50901e-06,0.11331,5.29976e-10,
240,0.0121457,0.200001,1.49348e-06,0.112144,5.24522e-10,
260,0.0112037,0.200001,1.48094e-06,0.111202,5.20116e-10,
280,0.0104402,0.200001,1.47077e-06,0.110439,5.16545e-10,
300,0.0098197,0.200001,1.4625e-06,0.109818,5.13643e-10,
320,0.0093144,0.200001,1.45578e-06,0.109313,5.1128e-10,
340,0.00890216,0.200001,1.45029e-06,0.108901,5.09352e-10,
360,0.00856538,0.200001,1.4458e-06,0.108564,5.07777e-10,
380,0.00828991,0.200001,1.44213e-06,0.108288,5.06488e-10,
400,0.00806438,0.200001,1.43913e-06,0.108063,5.05434e-10,
420,0.0078796,0.200001,1.43667e-06,0.107878,5.04569e-10,
440,0.0077281,0.200001,1.43465e-06,0.107727,5.03861e-10,
460,0.00760383,0.200001,1.43299e-06,0.107602,5.0328e-10,
480,0.00750184,0.200001,1.43164e-06,0.1075,5.02803e-10,
500,0.00741812,0.200001,1.43052e-06,0.107417,5.02411e-10,
520,0.00734937,0.200001,1.42961e-06,0.107348,5.02089e-10,
540,0.00729289,0.200001,1.42885e-06,0.107291,5.01825e-10,
560,0.0072465,0.200001,1.42824e-06,0.107245,5.01608e-10,
